id,lot,wafer,die,x,y,lum,std,path,h
1083,OSD190166,10,OSD190166-Brutes-10-18,10,18,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-18.bmp,fx54udHNH2jAStz4LJ/cS8kKoZ5u+bPgjKeos3dwU1mts+WefXfAP6YmLDcJ8r+1WHLBok5l8eogg8Hv11n14Q==
1084,OSD190166,10,OSD190166-Brutes-10-19,10,19,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-19.bmp,TaCDDtcEoGiIdE+vIhAzJWIeB0TBuQ8jlotHipxKCOd+hP7XOhjSxRtVp6B+Yls65AiKzOoGMiy2IKSGZViQ5Q==
1085,OSD190166,10,OSD190166-Brutes-10-20,10,20,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-20.bmp,sgs4eK/HkXhStAvCWZL+UTqlHK/eMpe8wMd0fUaXLFPXGzcGNN9WmclEpa/7NpJebKLfe2X+zs9Nh6XQEQ1KOw==
1086,OSD190166,10,OSD190166-Brutes-10-21,10,21,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-21.bmp,cqJi2u84bqCvNTbxkqS6A7rA76keMURITaZKXnl43+WKH0HRqvcHOJP76N1uxo4t72GKMHzAJBn29GtB1+Jr+g==
1087,OSD190166,10,OSD190166-Brutes-10-22,10,22,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-22.bmp,jmZ3JfVTGD9JmeYXpFjX2WYOHIIbDa6mijw51TLtvBHpPg3+3n+Afcvh3SAFUluDUUiTjI0taWF/U7DCcCaG/A==
1088,OSD190166,10,OSD190166-Brutes-10-23,10,23,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-23.bmp,a5dpc2NTKlOR2x8+cyztvU97FDxNZtuMRM7OIbTCmdlB8e1pFkLL67el6Bz9ZkmVFtHsZqIBCdY7B/rwt//ZXg==
1089,OSD190166,10,OSD190166-Brutes-10-24,10,24,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-24.bmp,ZGkiV0wkGmJNmTcqwVZZ/tluqUjTT0EKB1z+LIxrBXn4SwtcJ2SHPm2/jMdH9a3Dk6k5qAw4F59XJ3Qp6EF/3w==
1090,OSD190166,10,OSD190166-Brutes-10-25,10,25,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-25.bmp,8h/bZ8DrQYo8zFcbeK+I5hap55T1vJiFrDkMwv3WkU5lQAkjptEV4r5z2+Mj4dRhQeAM01Qan3xU+RxRG96LbA==
1091,OSD190166,10,OSD190166-Brutes-10-26,10,26,-1,-1,img/01-originals/OSD190166/10/OSD190166-Brutes-10-26.bmp,eIPNuICooAYdIPPb5VgbEin7nhbwrnVdP5Wr9JUSxQET34QPjV5a0mxu3k8z5ZpEo+s/G1n/cWZrZgGZxLIZXw==
1092,OSD190166,11,OSD190166-Brutes-11-01,11,1,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-01.bmp,vLFC6s53URAJqT23jUZV7yIBFmxB9c7e0Fgon8YP64LLFePVdCOfeUU3Eh0dSMU4txDtPpuKGM0wbtR4/Wh9Jw==
1093,OSD190166,11,OSD190166-Brutes-11-02,11,2,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-02.bmp,/8Il7+dWlzPiqNDs61wJN2doWc4R7qSoLw3+d+8TSrYcceOJ0mHZdc6lqWyakKyEb60+uqMyTAL/hob3hfvJJw==
1094,OSD190166,11,OSD190166-Brutes-11-03,11,3,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-03.bmp,KiQIYamu4WCNXm0rT5D390r3yNnMw4upVmJgzv5doz5krWHdK3h4+t8N9pT3q4f8UCjN9Oa2m15JjXywn+Gajg==
1095,OSD190166,11,OSD190166-Brutes-11-04,11,4,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-04.bmp,bEM7xDRamnceuvD2DlrsOE1P2TsFMRYUxUCsjT5BXZMjHUUgb9Zwp4KxvI0Ta7PqgXw00kCuNxa409P5LduufA==
1096,OSD190166,11,OSD190166-Brutes-11-05,11,5,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-05.bmp,YmFhhJz06VzPgrYE2GMWXckV9eG6sNI1mYdA5aiVzbY5f8fnAGyiybyp1MNKtgtl3V7k8BX2r+SLJ/p9oYMMRw==
1097,OSD190166,11,OSD190166-Brutes-11-06,11,6,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-06.bmp,IibOu9euGunK7krIEpUhfDMzpoogcfttH8nm46ZHq6zTk2nTUDiV/zrTzvNHMz4+iRJdv6lWoYr7gQocswOx8A==
1098,OSD190166,11,OSD190166-Brutes-11-07,11,7,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-07.bmp,su6kU7ZK+S40r4GEKIFiSVKr748wBX/BsW3M7paTso3UdrKzV7MKjFzrpr1royvddqqc2h+9lanVLfaM3rBiag==
1099,OSD190166,11,OSD190166-Brutes-11-08,11,8,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-08.bmp,waIbKdftF9Wad5Y4JqBkN2mDxl5tcrOP02lcPKy/kOrZkGM3Q+Ey1m0fxNKIEWD7JAANgDycVNNOl3out7ETeQ==
1100,OSD190166,11,OSD190166-Brutes-11-09,11,9,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-09.bmp,NgKn9CgWc6vo2pH/JP+eRgjL40eNk+nTfHTNfROsyCqmCjYZAMAPmDU+3Bdl/oXYQneTfirJsEYWfvgrIgi+Vg==
1101,OSD190166,11,OSD190166-Brutes-11-10,11,10,-1,-1,img/01-originals/OSD190166/11/OSD190166-Brutes-11-10.bmp,AiQFTVZBuib9ydfTkSWLwmSUHLkHsbCV5rINmbkpInyZl28bAmY/yxVvTwbi+1AbwgdMc+WAOEKzD8RYnQN4gQ==
